Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEXAWARE,EQ,10-Dec-18,316.05,311,321.95,309.7,318.2,317.45,316.68,1356774,429669416.8,31050,535036,39.43
HEXAWARE,EQ,11-Dec-18,317.45,312,335,312,332.1,332,328.94,2090441,687626135.4,49888,420236,20.1
HEXAWARE,EQ,12-Dec-18,332,334.05,338.5,326.5,330.1,330.05,332.37,2243158,745558541.8,27259,435976,19.44
HEXAWARE,EQ,13-Dec-18,330.05,333,337.75,329.05,331.25,330.8,333.22,1068014,355888282.5,18828,228399,21.39
HEXAWARE,EQ,14-Dec-18,330.8,329.1,334.5,323.75,327.8,328.1,329.23,901424,296776677.9,15107,168716,18.72
HEXAWARE,EQ,17-Dec-18,328.1,330.1,331.9,324.4,329.3,330.9,328.45,641422,210673083.4,9462,97337,15.18
HEXAWARE,EQ,18-Dec-18,330.9,330,341,328.5,336,335.65,336.62,2030695,683576389,33459,553276,27.25
HEXAWARE,EQ,19-Dec-18,335.65,336.3,337.7,328.45,328.55,329.65,331.5,993972,329502301.5,18527,258165,25.97
HEXAWARE,EQ,20-Dec-18,329.65,327.7,331.8,319.5,321.8,321.6,326.39,1217448,397364811.5,21147,359802,29.55
HEXAWARE,EQ,21-Dec-18,321.6,323,324.5,312.55,313.7,314.75,318.79,1178934,375836773,43406,389283,33.02
HEXAWARE,EQ,24-Dec-18,314.75,315.5,318.9,311.85,314.1,315,315.26,942066,296995781.3,16416,267494,28.39
HEXAWARE,EQ,26-Dec-18,315,313,316.95,307.4,316.7,315.75,311.66,741835,231199166.9,8717,135412,18.25
HEXAWARE,EQ,27-Dec-18,315.75,319.7,327.45,316.8,325.8,325.1,322.58,1182016,381289909.7,17816,269053,22.76
HEXAWARE,EQ,28-Dec-18,325.1,326,333.85,326,329.75,329.95,330.87,1247169,412650294.1,21249,211455,16.95
HEXAWARE,EQ,31-Dec-18,329.95,330.95,334.2,329.55,332.2,332.9,332.11,739629,245635907.2,9330,115534,15.62
HEXAWARE,EQ,01-Jan-19,332.9,333.85,333.85,329.65,332,332.3,331.65,470450,156022665.5,6862,58296,12.39
HEXAWARE,EQ,02-Jan-19,332.3,331.75,341.25,329.1,330,330.75,335.96,2016439,677450391.4,28750,233095,11.56
HEXAWARE,EQ,03-Jan-19,330.75,332.8,334.95,327,330,330.6,330.56,1131624,374066208,18170,312244,27.59
HEXAWARE,EQ,04-Jan-19,330.6,332.9,333.6,319.25,333.6,331.85,324.83,1706717,554385979.3,29909,493735,28.93
HEXAWARE,EQ,07-Jan-19,331.85,335.95,335.95,329.65,331,331.5,331.71,696145,230921226.4,10899,202373,29.07
HEXAWARE,EQ,08-Jan-19,331.5,333.4,333.4,327.5,327.6,328.9,329.79,444104,146461424.4,14412,209673,47.21
HEXAWARE,EQ,09-Jan-19,328.9,329,333.3,327.3,328.4,329.35,330.07,793764,261999374.9,33527,363351,45.78
HEXAWARE,EQ,10-Jan-19,329.35,328.5,330.8,319.3,319.85,320.35,326.66,1314604,429427159.7,15213,743117,56.53
HEXAWARE,EQ,11-Jan-19,320.35,320,326.45,312.2,324,325.15,317.53,2309306,733270528.7,31148,466184,20.19
HEXAWARE,EQ,14-Jan-19,325.15,326,326.55,314.35,314.5,316.15,319.21,1136102,362651955,23425,315567,27.78
HEXAWARE,EQ,15-Jan-19,316.15,316.2,323,313.55,319.5,319.7,318.92,1906924,608150855.1,26211,931449,48.85
HEXAWARE,EQ,16-Jan-19,319.7,318.9,326.8,317.7,324.7,323.45,323.31,800826,258918282.4,20743,250689,31.3
HEXAWARE,EQ,17-Jan-19,323.45,323,327.7,319.2,324.2,324.85,323.49,1500383,485362970.1,21241,515842,34.38
HEXAWARE,EQ,18-Jan-19,324.85,325,326.9,321.65,325,325.15,324.68,689455,223850511.4,13594,183150,26.56
HEXAWARE,EQ,21-Jan-19,325.15,324.05,334.5,323.9,326.1,325.85,329.21,1423898,468757898.8,20649,216316,15.19
HEXAWARE,EQ,22-Jan-19,325.85,326.45,333,322.5,332.15,331.6,327.78,927404,303984960.8,24498,204670,22.07
HEXAWARE,EQ,23-Jan-19,331.6,333,336.35,329.45,331.7,333.1,333.03,1018253,339109368,19587,279370,27.44
HEXAWARE,EQ,24-Jan-19,333.1,333.5,333.55,325.4,326.8,326.35,329.19,1147157,377628234.9,19367,460441,40.14
HEXAWARE,EQ,25-Jan-19,326.35,326.5,328.8,322,322,324,325.04,1193798,388036491.3,37326,532155,44.58
HEXAWARE,EQ,28-Jan-19,324,322.8,323.7,312.25,318.05,319.6,318.53,1386777,441731247.9,29581,754254,54.39
HEXAWARE,EQ,29-Jan-19,319.6,319,323.9,315.55,321.65,322.25,320.57,721055,231150007.8,14892,173500,24.06
HEXAWARE,EQ,30-Jan-19,322.25,322.5,334.95,317.4,323,322.6,322.57,1109975,358040243.6,30287,300343,27.06
HEXAWARE,EQ,31-Jan-19,322.6,320,347.75,312.7,340,342.6,337.11,7042767,2374200983,84415,1196336,16.99
HEXAWARE,EQ,01-Feb-19,342.6,339.2,356.2,339.2,349,349.6,349.74,2930714,1024981796,52751,456119,15.56
HEXAWARE,EQ,04-Feb-19,349.6,352.5,361.5,348.55,354.3,354.9,355.32,2070572,735714625.9,36951,397740,19.21
HEXAWARE,EQ,05-Feb-19,354.9,354.8,362.9,349.6,358,356.35,356.65,1884180,671993715.5,29846,401526,21.31
HEXAWARE,EQ,06-Feb-19,356.35,356.4,363.45,353.15,361.85,361.85,358.07,990831,354784261,17973,237861,24.01
HEXAWARE,EQ,07-Feb-19,361.85,361.85,365.5,354,355.25,355.35,359.63,1050016,377620603.4,17085,302719,28.83
HEXAWARE,EQ,08-Feb-19,355.35,351,362.7,350.25,357.2,356.1,358.35,1308731,468980146.4,25771,401482,30.68
HEXAWARE,EQ,11-Feb-19,356.1,356,358.3,350,354.6,354.6,354.6,656642,232847632.1,12717,157729,24.02
HEXAWARE,EQ,12-Feb-19,354.6,354.6,362.4,349.15,359.35,358.55,356.13,811059,288845240,16160,127351,15.7
HEXAWARE,EQ,13-Feb-19,358.55,360,369.85,356.6,368.1,367.9,364.47,2165558,789277875.8,36608,669442,30.91
HEXAWARE,EQ,14-Feb-19,367.9,372,372,363,367,368.15,368.35,1725944,635751181.8,27221,304622,17.65
HEXAWARE,EQ,15-Feb-19,368.15,366,368.45,357.6,358.9,359.7,362.1,598328,216656301.4,10443,61260,10.24
HEXAWARE,EQ,18-Feb-19,359.7,359.8,360.65,350.6,353.25,353.05,354.02,822329,291118860.6,19725,166569,20.26
HEXAWARE,EQ,19-Feb-19,353.05,354,356,350.6,354.6,353.8,353.75,486912,172246893.6,11425,59701,12.26
HEXAWARE,EQ,20-Feb-19,353.8,354.25,359,352.55,356.05,356.6,356.42,833720,297156621,18382,190659,22.87
HEXAWARE,EQ,21-Feb-19,356.6,356.6,356.85,351.95,353.1,353.3,353.97,546428,193418146.6,14371,110368,20.2
HEXAWARE,EQ,22-Feb-19,353.3,353.2,360.15,352.05,357.8,358.05,356.56,494656,176372101.6,7558,45135,9.12
